ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,33090,SUMM.TXT,0.08511,0.38839,0.13963,4

ROUGE-1+StopWordRemoval+Stemming,33090,SUMM.TXT,0.04571,0.44318,0.08287,4

ROUGE-2+StopWordRemoval+Stemming,33090,SUMM.TXT,0.01208,0.08077,0.02101,4

ROUGE-SU4+StopWordRemoval+Stemming,33090,SUMM.TXT,0.02422,0.12656,0.04066,4

ROUGE-L+StopWordRemoval+Stemming,30817,SUMM.TXT,0.15384,0.30362,0.20421,3

ROUGE-1+StopWordRemoval+Stemming,30817,SUMM.TXT,0.17583,0.37443,0.23929,3

ROUGE-2+StopWordRemoval+Stemming,30817,SUMM.TXT,0.02766,0.04944,0.03547,3

ROUGE-SU4+StopWordRemoval+Stemming,30817,SUMM.TXT,0.08870,0.13034,0.10556,3

ROUGE-L+StopWordRemoval+Stemming,30816,SUMM.TXT,0.31361,0.69628,0.43244,3

ROUGE-1+StopWordRemoval+Stemming,30816,SUMM.TXT,0.36541,0.70680,0.48176,3

ROUGE-2+StopWordRemoval+Stemming,30816,SUMM.TXT,0.27200,0.37615,0.31570,3

ROUGE-SU4+StopWordRemoval+Stemming,30816,SUMM.TXT,0.29879,0.38321,0.33577,3

ROUGE-L+StopWordRemoval+Stemming,30819,SUMM.TXT,0.08283,0.65000,0.14694,4

ROUGE-1+StopWordRemoval+Stemming,30819,SUMM.TXT,0.13212,0.78250,0.22607,4

ROUGE-2+StopWordRemoval+Stemming,30819,SUMM.TXT,0.10890,0.40909,0.17201,4

ROUGE-SU4+StopWordRemoval+Stemming,30819,SUMM.TXT,0.12020,0.37296,0.18181,4

ROUGE-L+StopWordRemoval+Stemming,33097,SUMM.TXT,0.12594,0.53783,0.20408,3

ROUGE-1+StopWordRemoval+Stemming,33097,SUMM.TXT,0.12871,0.66272,0.21556,3

ROUGE-2+StopWordRemoval+Stemming,33097,SUMM.TXT,0.04531,0.19791,0.07374,3

ROUGE-SU4+StopWordRemoval+Stemming,33097,SUMM.TXT,0.07751,0.26726,0.12017,3

ROUGE-L+StopWordRemoval+Stemming,33098,SUMM.TXT,0.16916,0.39474,0.23683,3

ROUGE-1+StopWordRemoval+Stemming,33098,SUMM.TXT,0.11440,0.54040,0.18882,3

ROUGE-2+StopWordRemoval+Stemming,33098,SUMM.TXT,0.05048,0.18613,0.07942,3

ROUGE-SU4+StopWordRemoval+Stemming,33098,SUMM.TXT,0.07429,0.22075,0.11116,3

ROUGE-L+StopWordRemoval+Stemming,32688,SUMM.TXT,0.13845,0.48684,0.21559,4

ROUGE-1+StopWordRemoval+Stemming,32688,SUMM.TXT,0.19910,0.62772,0.30232,4

ROUGE-2+StopWordRemoval+Stemming,32688,SUMM.TXT,0.05269,0.15027,0.07803,4

ROUGE-SU4+StopWordRemoval+Stemming,32688,SUMM.TXT,0.15212,0.24203,0.18682,4

ROUGE-L+StopWordRemoval+Stemming,31478,SUMM.TXT,0.06516,0.75862,0.12002,3

ROUGE-1+StopWordRemoval+Stemming,31478,SUMM.TXT,0.10442,0.86478,0.18634,3

ROUGE-2+StopWordRemoval+Stemming,31478,SUMM.TXT,0.07472,0.41587,0.12668,3

ROUGE-SU4+StopWordRemoval+Stemming,31478,SUMM.TXT,0.08712,0.40192,0.14320,3

ROUGE-L+StopWordRemoval+Stemming,31114,SUMM.TXT,0.00495,0.11538,0.00949,4

ROUGE-1+StopWordRemoval+Stemming,31114,SUMM.TXT,0.00312,0.01908,0.00537,4

ROUGE-2+StopWordRemoval+Stemming,31114,SUMM.TXT,0.00000,0.00000,0.00000,4

ROUGE-SU4+StopWordRemoval+Stemming,31114,SUMM.TXT,0.00102,0.00388,0.00162,4

